COUNTRY,CANRAT,GDPPER,URBPOP,PATRES,RNDGDP,POPGRO,LIFEXP,TUBINC,DTHCMD,AGRLND,GHGEMI,RELOUT,METEMI,FORARE,CO2EMI,PM2EXP,POPDEN,ENRTER,GDPCAP,HDICAT,EPISCO
Australia,High,98380.63601,86.241,2368,,1.23570108,83.2,7.2,4.941054322,46.25247984,571903.1199,13.63784109,131484.7632,17.42131456,14.7726576,24.89358377,3.335312311,110.1392212,51722.069,VH,60.1
New Zealand,High,77541.76438,86.699,348,,2.204788696,82.25609756,7.2,4.354730431,38.56291064,80158.02583,80.08143875,32241.937,37.57012647,6.160799183,,19.33158634,75.73483276,41760.59478,VH,56.7
Ireland,High,198405.875,63.653,75,1.232439995,1.029110503,82.55609756,5.3,5.68459569,65.49571781,59497.73471,27.96540802,15252.82463,11.35172013,6.76822759,0.274091679,72.36728117,74.68031311,85420.19086,VH,57.4
United States,High,130941.6369,82.664,269586,3.422869921,0.9643479,76.9804878,2.3,5.302059801,44.36336735,5505180.89,13.22859321,748241.4029,33.86692641,13.03282795,3.34317037,36.24098511,87.56765747,63528.6343,VH,51.1
Denmark,High,113300.6011,88.116,1261,2.968729973,0.291641177,81.60243902,4.1,6.826140097,65.499675,41135.55451,65.50592462,7778.773921,15.711,4.691237308,56.91445611,145.7851,82.66432953,60915.4244,VH,77.9
Netherlands,High,103580.7548,92.236,2198,2.304500103,0.55554079,81.35853659,4.1,6.000823844,53.88921889,155912.4883,12.44208231,15200.5766,10.97416097,7.471553479,99.59814148,518.013068,85.11045074,52162.57012,VH,62.6
Belgium,High,115821.384,98.079,862,3.455019951,0.430996815,80.69512195,7.7,7.897905535,45.06635733,100063.4878,20.80002301,7974.086619,22.76420079,7.398130658,91.94854035,381.0635403,79.49960327,45517.90382,VH,58.2
Canada,High,94700.6094,81.562,4452,1.696380019,1.073795827,81.6704878,5.4,4.772252267,6.370735222,677709.2227,63.01145004,100143.3855,38.69551251,13.59937492,,4.23922642,74.15714264,43349.67786,VH,50
France,High,102117.269,80.975,12771,2.347170115,0.271350508,82.17560976,8.3,6.368028036,52.14754628,376006.2454,15.85766663,58451.48747,31.50904837,3.953682452,78.21356392,123.4046994,68.40949249,39055.28293,VH,62.5
Hungary,High,67317.03739,71.942,428,1.593610048,-0.215067837,75.56829268,4.5,1.976896912,53.8754394,59596.52966,10.58269066,6956.244958,22.49627438,4.591652907,100,106.8392395,54.6012001,16125.60941,VH,55.1
Norway,High,126745.6181,82.974,880,2.278039932,0.588757324,83.2097561,3.1,7.679579779,2.70656766,46116.8172,97.70987062,4342.761259,33.43535968,6.72508005,2.0438378,14.76721523,87.16853333,68340.0181,VH,59.3
United Kingdom,High,84633.75488,83.903,11990,,0.365758264,80.35121951,7,8.156775141,71.34004919,398323.6546,24.84005042,50415.67463,13.18563221,4.601142251,66.53324903,277.2753854,69.98657227,40318.41692,VH,77.7
Switzerland,High,123501.3381,73.915,1384,,0.730676195,83,4.7,4.74880947,38.0271063,43987.63547,62.19798175,4975.239558,32.12153594,4.042072815,49.30013623,218.6344696,68.06764221,85656.32267,VH,65.9
New Caledonia,High,,71.518,,,0.448777652,80.83495122,17,,10.06728665,,14.09470867,,45.84354486,,,14.904814,,34700.98162,,
Germany,High,103081.5297,77.453,42260,3.109299898,0.081693159,81.04146341,5.3,4.759985416,47.49706632,692750.7552,29.23177012,46917.60037,32.68267552,7.255221028,89.17435643,238.0173188,72.38941956,46772.82535,VH,62.4
Slovenia,High,79704.7403,55.118,232,2.142659903,0.669754656,80.53170732,4.1,2.654956395,30.31773306,15286.67677,29.39191469,1697.1412,61.47225919,5.934735179,99.49102528,104.4088814,75.81668091,25545.241,VH,67.3
Latvia,High,63943.84534,68.315,93,0.687259972,-0.701211571,75.18536585,20,3.040765024,31.64068777,11436.59559,50.17169709,1952.810529,54.80941668,3.645612168,89.0140462,30.53911297,94.51083374,18207.13964,VH,61.1
Serbia,High,43020.82076,56.446,138,0.905579984,-0.666107601,74.47804878,14,2.709732238,41.40801522,62883.94612,26.90517356,11734.80539,32.37780949,6.714517172,100,82.04454751,66.88448334,7733.803494,VH,43.9
Slovak Republic,High,66778.41605,53.76,206,0.898079991,0.085769476,76.86585366,3.2,5.104775248,39.16389351,35984.33182,22.67948333,4410.301876,40.05615641,5.319054808,100,113.5363353,48.37900162,19551.62116,VH,60
Lithuania,High,76379.95988,68.046,95,1.149189949,0.026766758,74.97804878,28,3.414327994,46.99457042,19784.73208,39.40817285,2998.360922,35.14851485,4.184000415,95.99985931,44.63246567,70.78690338,20363.92441,VH,55.9
Italy,High,101800.5624,71.039,10061,1.527400017,-0.487095092,82.19512195,4.2,5.504788046,42.33226362,352128.8891,38.67922518,43888.65304,32.34893496,4.732372771,94.777214,200.9991005,68.72290039,31918.69349,VH,57.7
Cyprus,High,58449.67151,66.821,2,0.809319973,0.705573415,81.391,3.2,4.791724617,13.81485931,8109.206812,8.780057357,749.702555,18.67207792,5.471998009,100,133.9325758,92.9377594,28035.98438,VH,58
Luxembourg,High,234646.9049,91.453,129,1.118849993,1.666358674,82.14390244,5.8,5.356611264,51.32571491,8813.977022,32.38166792,555.763012,34.45382721,12.45695323,68.77562274,244.8742649,19.96138954,117370.4969,VH,72.3
Montenegro,High,50953.37186,67.488,5,,-0.116139361,75.93170732,15,1.41387632,19.17843866,3764.437423,49.65034965,783.237121,61.48698885,4.067560912,100,46.19375465,56.8306694,7677.369141,VH,46.9
Sweden,High,106089.6688,87.977,1764,3.489599943,0.722703913,82.35609756,3.5,5.915461772,7.379478334,45458.82211,63.26274771,4792.09356,68.69907031,3.242989143,3.636487382,25.42072337,79.11963654,52837.90398,VH,72.7
Japan,High,75333.89124,91.782,227348,3.274600029,-0.294194618,84.56,12,10.2966194,12.84499314,1094556.256,15.98478072,25783.31233,68.40877915,8.03149587,76.76150823,346.3950617,62.13584137,39986.92863,VH,57.2
Estonia,High,73226.97007,69.229,21,1.751320004,0.197559185,78.59512195,10,3.582599329,23.04093567,10198.8019,14.4187386,1097.115979,57.03859649,5.338399816,,31.09992982,72.0443573,23595.24368,VH,61.4
Spain,High,88359.97081,80.81,1431,1.410390019,0.488502132,82.33170732,7.2,5.610444665,52.33167922,270310.9717,34.94989057,39703.22586,37.17730549,4.279594571,41.11554943,94.81538375,90.95484924,26959.67544,VH,56.6
Finland,High,103223.1715,85.517,1588,2.912329912,0.143641197,81.93170732,3.6,1.42416707,7.468579325,47740.49323,44.49903057,4506.322031,73.72836744,6.570145128,,18.19287688,96.47263336,49169.71934,VH,76.5
Uruguay,High,50109.8308,95.515,,0.44749999,0.019744819,78.43,32,7.154288717,80.3531025,35994.19321,88.55895197,20393.59933,11.60438807,1.89971905,22.38574466,19.592538,64.93321991,15650.49943,VH,37.4
Poland,High,69811.15613,60.043,4010,1.385489941,-0.175062058,76.5,9.4,5.852220822,48.12661288,338383.8449,13.80239867,29540.38185,30.9770359,7.367563373,99.96611573,123.8005749,70.97303772,15816.8204,VH,50.6
Iceland,High,91479.60085,93.898,44,2.474430084,1.623086251,83.06341463,3.8,4.968023006,18.56590301,2653.430657,99.97872227,515.164553,0.509273034,3.947465365,10.28521579,3.634463949,74.59060669,58813.79698,VH,62.8
Greece,High,74611.6743,79.715,400,1.495380044,-0.214592107,81.28780488,4.2,12.85460659,45.5173623,69283.30669,28.65578326,9405.825274,30.26997673,4.767184937,100,82.99921645,143.3106842,17658.9473,VH,56.2
Romania,High,66168.42414,54.194,817,0.465380013,-0.550759893,74.25365854,43,5.327697619,56.71505563,95744.39542,39.7469737,16458.96123,30.11582928,3.564137501,98.01746488,83.73283206,53.47879028,13047.45768,VH,56
Portugal,High,68457.62864,66.31,695,1.613919973,0.105114125,80.97560976,16,8.517003445,43.16609028,55640.70734,47.52637429,11383.20988,36.15499489,3.784907587,16.00835663,112.406676,67.79801941,22242.40642,VH,50.4
Guadeloupe,High,,,,,,,,,,,,,,,,,,,,
Cuba,High,,77.194,33,0.518379986,-0.141475202,77.567,6.3,9.215071855,61.66666667,38558.67367,3.948146688,10377.33169,31.23314066,2.152769678,100,108.8699229,45.92990875,9499.590202,H,47.5
Austria,High,105604.6629,58.748,2124,3.186810017,0.415176732,81.19268293,4.9,3.569978616,31.53981338,71017.8287,76.49077927,6863.078458,47.25096946,6.632645737,85.05153767,108.0570044,88.7071991,48809.22688,VH,66.5
Belarus,High,38138.39612,79.483,317,0.539009988,-0.42347525,72.45721951,28,1.608653743,40.79712287,87868.32147,0.815679831,17079.26291,43.19440339,5.842407296,99.93135197,46.21121293,76.89089203,6542.86454,VH,48.5
Martinique,High,,,,,,,,,,,,,,,,,,,,
Bulgaria,High,49605.05481,75.686,239,0.849240005,-0.600241518,73.65853659,19,2.214004172,46.49042004,46492.85461,17.988593,6980.496622,35.86035372,4.923280379,99.89467432,63.87265107,74.37622833,10153.4766,H,51.9
Malta,High,80139.28944,94.744,6,0.666890025,2.211207678,82.34878049,31,7.002133543,28.46875,2082.169141,7.674597084,228.28561,1.4375,3.125557893,100,1610.4125,62.87525177,29196.97775,VH,75.2
South Korea,High,79993.07132,81.414,180477,4.795710087,0.137869266,83.42682927,48,12.82878715,16.60860656,659329.6994,1.894666312,21990.13017,64.41598361,10.99002958,100,531.1090061,96.87677002,31721.29802,VH,46.9
Israel,High,93538.41417,92.587,1642,5.35450983,1.763679392,82.64878049,2.1,10.31801178,29.87060998,83664.06603,1.89020023,9801.47314,6.469500924,6.345216004,100,425.836414,56.42721939,44846.7916,VH,48.2
French Polynesia,High,,61.975,,,0.732338552,82.217,24,,13.97291847,,32.01209739,,43.05963699,,,86.98357822,,18984.61738,,
Samoa,Low,20245.82401,17.889,,,1.416968,72.768,7,10.36586606,17.77338129,538.887695,30.35048471,267.323935,58.15467626,0.960782398,100,77.31258993,16.38685226,4042.722715,H,36.4
Russian Federation,Low,56448.87356,74.754,23759,1.093709946,-0.230950389,71.33878049,48,3.903452971,13.15843626,2331479.378,15.85579515,617227.2995,49.78433608,11.23228807,91.609329,8.797354989,,10194.44141,VH,37.5
Singapore,Low,160233.1339,100,1778,,-0.311904961,84.46585366,46,20.70522046,0.919220056,64266.74268,1.820886641,4347.650851,21.68523677,7.686683702,100,7918.951253,93.13477325,61274.00646,VH,50.9
Turkiye,Low,87127.59769,76.105,7920,1.088639975,0.780048418,75.85,16,5.165318472,49.06513519,504956.3259,31.95662056,50444.76645,28.8714837,4.842266922,100,109.3193197,118.8836823,8561.064333,,26.3
Bosnia and Herzegovina,Low,43237.89497,49.02,50,0.206049994,-1.266771023,76.225,26,1.809747742,43.7890625,26053.3501,35.51730757,3660.954549,42.73261719,6.312305874,99.95523503,64.81263672,40.88134003,6095.102479,H,39.4
Moldova,Low,38026.01687,42.849,85,0.228589997,-1.098031659,70.166,78,4.470503145,68.86506146,12985.65753,5.368576588,3287.202022,11.75322187,3.267846368,100,91.74732605,56.24251938,4376.242493,H,42.7
North Macedonia,Low,41401.53078,58.482,47,0.372640014,-0.200664047,74.39512195,12,1.283610995,50.03965107,9768.859944,35.93694651,2369.77411,39.71015067,3.279420187,100,82.17807296,40.42964172,5965.450232,H,54.3
Barbados,Low,30744.70118,31.191,29,,0.182929163,77.393,2.5,12.90050074,23.25581395,3656.467698,,2359.570952,14.65116279,3.904871158,100,652.7744186,,16643.80658,H,53.2
Puerto Rico,Low,102911.4073,93.581,,,2.713976432,78.041,0.95,,19.04171364,,1.837446479,,55.95603157,,3.669724771,369.9613303,,31427.42911,,
Argentina,Low,51985.93685,92.111,930,0.525219977,0.970053991,75.892,28,17.59649448,43.02926517,361433.0173,28.14006912,131035.6894,10.44071488,3.40561754,93.85282467,16.58089261,99.26622772,8496.428157,VH,41.1
Croatia,Low,66534.14529,57.553,117,1.242609978,-0.433210221,77.72439024,5,3.396394081,26.89421015,21379.32606,66.82683752,3668.675985,34.65171551,3.860705392,99.77960527,72.33166548,69.34697723,14236.53525,VH,60.2
French Guiana,Low,,,,,,,,,,,,,,,,,,,,
Mongolia,Low,30259.80595,68.657,66,0.13301,1.897015028,72.141,428,6.309566022,72.35894359,53921.45499,3.083620533,18159.40469,9.099658488,6.430645335,97.01398059,2.115133618,64.54763031,4041.174145,H,29.6
Brazil,Low,34726.8008,87.073,5280,1.16703999,0.665176682,74.009,45,13.70864088,28.56461856,1064709.126,73.96690805,449213.973,59.41747805,1.942523356,68.13503006,25.50762538,54.57279968,6923.700197,H,43.6
Ukraine,Low,27796.60745,69.608,1361,0.403180003,-0.57424247,71.18512195,74,3.133815956,71.2996203,227341.5857,4.381646803,32317.87499,16.72419745,3.753816189,100,76.16853469,82.13459778,3751.737305,H,49.6
South Africa,Low,43455.84235,67.354,542,,1.223179295,65.252,562,35.68035783,79.41785028,501520.8805,2.255041826,72213.21514,14.05509072,6.687563147,100,48.47284785,25.12968063,5741.641249,H,37.2
China,Low,32213.11866,61.428,1344817,2.40666008,0.23804087,78.077,57,3.549710558,55.46264943,12942868.34,23.92681717,1186285.181,23.4313229,7.756137907,99.99829446,150.3055428,62.23677826,10408.71912,H,28.4
Armenia,Low,30798.36078,63.313,63,0.209199995,-0.533006607,72.173,25,6.69449891,58.8689849,10422.04117,28.33696628,2319.921617,11.5374078,2.404683762,100,98.54611872,53.30612946,4505.867746,H,48.3
Zimbabwe,Low,5635.593722,32.242,,,2.03111171,61.124,181,47.64730062,41.87669639,25988.12599,52.72427644,12060.82302,45.09391237,0.530483547,100,40.50579294,9.723605156,1372.696674,M,46.2
Papua New Guinea,Low,12581.08622,13.345,,,2.147632274,65.787,418,30.27202678,3.131210529,18397.91713,34.53065134,10854.74217,79.17625756,0.563251566,99.99516574,21.52903767,,2446.084413,M,24.8
Jamaica,Low,19109.85698,56.311,10,,0.236519558,71.869,3.1,8.973658908,38.50415512,7432.636336,10.26200873,825.92789,55.11449677,2.069041808,100,260.4280702,,4897.26477,H,45.6
Namibia,Low,30934.94255,52.033,,,1.720310624,62.829,451,45.15033261,47.14134752,13560.37867,97.78645833,5335.779671,8.06386571,1.588045147,100,3.023355075,28.36824036,4252.041807,M,50.9
Georgia,Low,31553.19862,59.453,81,0.300799996,0.068656249,72.765,69,2.753144065,34.21931213,17669.44862,78.03932429,5133.092908,40.61591596,2.754709196,100,65.13027048,71.31075287,4255.742993,VH,39.1
Trinidad and Tobago,Low,55090.68649,53.214,1,0.064340003,-0.119021693,74.406,17,6.977217707,10.52631579,26480.71295,,6667.330375,44.48148148,10.15711917,100,295.9350877,,13871.79822,VH,47.8
Paraguay,Low,29018.70992,62.183,14,0.156969994,1.34872957,73.182,45,13.95406885,42.30843192,50784.02825,99.99820608,30106.5439,40.52922225,1.144591192,99.05830825,16.65918701,,5353.348045,H,40.9
Bahamas,Low,53047.70567,83.245,,,0.471994445,72.677,8.8,10.71019256,1.298701299,2801.144379,,223.17922,50.93506494,6.042251477,99.99999999,40.60649351,,23998.26802,VH,56.2
Costa Rica,Low,49357.30708,80.771,12,,0.755771068,79.277,9.7,7.128495366,34.97845672,14405.0866,99.00110988,4650.441149,59.43732863,1.35999555,99.68879337,100.334998,,12179.25667,VH,46.3
Colombia,Low,32117.50317,81.425,369,0.289330006,1.470102032,74.769,34,10.33977341,39.7046219,186999.3355,68.23681122,77156.40012,53.30501127,1.552259423,92.10462898,45.90415683,55.73310852,5304.289129,H,42.4
Venezuela,Low,,88.279,,,-1.674985598,71.095,44,15.56175006,24.37503543,194259.7019,63.6950421,97594.23488,52.41301514,2.545027978,99.93366243,32.30026983,,,M,46.4
Chile,Low,57356.87288,87.727,372,,1.360643634,79.377,14,7.111620873,14.74605397,106722.3342,43.60433496,11795.5356,24.49215367,4.395151064,97.66301771,25.95761178,89.11248779,13165.38634,VH,46.7
Guam,Low,,94.938,,,0.359326133,76.612,39,,29.62962963,,,,51.85185185,,83.33333333,313.3907407,,34780.86166,,
Peru,Low,23849.77225,78.297,125,0.17193,1.451402401,73.665,117,17.537581,19.52889844,89865.35382,52.73051336,31679.81165,56.50810156,1.398566019,99.96292629,26.01934063,,6063.62658,H,39.8
Saint Lucia,Low,27035.17209,18.841,,,0.36554733,73.416,2.2,7.9406532,16.29508197,850.806942,,272.859517,34.04918033,2.785139229,100,293.8311475,16.90415001,8458.075063,H,49.4
Dominican Republic,Low,40896.5258,82.54,10,,1.076552247,72.889,41,12.57576408,51.10349035,37052.66519,11.63244298,9243.113873,45.10950748,2.080181722,99.91344262,231.4208411,58.77322006,7167.914932,H,42.2
Fiji,Low,28870.18159,57.247,,,0.21284622,67.924,66,9.350539618,17.05528188,1764.367631,45.01588482,443.648987,62.39846743,1.117096288,82.80318235,50.37887247,,4864.106008,H,31.3
Suriname,Low,43116.97848,66.149,,,1.120467326,72.561,29,11.81466259,0.512820513,4312.425111,60.05314438,1415.671617,97.41211538,4.285076557,100,3.891442308,,4796.533314,H,45.9
Kazakhstan,Low,54460.6836,57.671,803,0.126019999,1.298635325,71.37,66,5.124694704,79.26925214,294805.9457,8.874027877,69749.45146,1.279653295,11.29774331,87.41423053,6.947314887,64.84986115,9121.636402,VH,40.9
Laos,Low,19908.63256,36.29,,,1.47745666,68.497,149,25.64050373,8.79982669,30491.44478,86.36999958,8011.314315,71.9042461,2.620283441,100,31.71316724,12.58433437,2593.355097,M,30.7
Thailand,Low,30315.18954,51.43,863,1.330250025,0.235182865,79.274,144,13.90396992,45.55168373,433773.458,8.538478848,75892.78006,38.89878447,3.714255806,100,139.9042142,48.01493073,7001.785413,VH,38.1
Philippines,Low,21090.49783,47.408,476,,1.626632905,72.119,533,24.28166467,42.45564611,224971.7625,25.41346632,65722.00682,24.10903176,1.189679452,96.37065877,376.2651407,32.84725571,3224.422811,M,28.9
